character,count,dominant_languages,dominant_series,top_words,object_motifs,action_motifs,emotion_tendencies,speech_tactics
박봉남,31,KR:30 | EN:1,Derville Pen is dead!:24 | 노동요:3 | 레못맛소녀곰:2,진짜:25 | 같아:19 | 위로:14 | 그게:14 | 거야:14 | 모든:13 | 순간:13 | 오늘은:13,비:60 | 발:55 | 달:42 | 손:40 | 눈:38 | 밤:32,숨:30 | 열:27 | 웃:25 | 식:18 | 밀:17 | 깨:17,괜찮:15 | 차가:12 | 괜찮아:9 | 좋아:6 | 꿈:6 | 보고:5,그냥:32 | 아니:22 | 니까:18 | 잖아:18 | 괜찮:15 | 몰라:13
샐리,26,KR:25 | EN:1,Run Sarura Run!:21 | 노동요:3 | Winter/Christmas:1,진짜:30 | 거야:24 | 완전:21 | 어머:20 | 취해:15 | 이게:14 | 근데:13 | 좋아:13,달:40 | 눈:38 | 비:28 | 봄:27 | 밤:27 | 손:26,떨:20 | 울:19 | 돌아:18 | 돌:18 | 깨:11 | 잡:11,좋아:22 | 달콤:18 | 사랑:17 | 뜨거:7 | 괜찮:6 | 보고:4,잖아:30 | 니까:22 | 뭐:20 | 그냥:18 | 아니:18 | 근데:13
마리,24,KR:23 | EN:1,Run Sarura Run!:19 | Project SD:1 | April's Fool Day:1,없는:29 | 자꾸:18 | 같아:17 | 거야:15 | 바보:14 | 살짝:12 | 가장:12 | 모든:12,눈:43 | 발:36 | 손:35 | 달:28 | 문:26 | 숨:25,돌:26 | 숨:25 | 열:24 | 돌아:24 | 울:24 | 잡:19,좋아:13 | 보고:12 | 뜨거:9 | 차가:9 | 괜찮:6 | 괜찮아:4,잖아:21 | 그냥:18 | 사실:16 | 정말:10 | 니까:9 | 아니:9
네르,21,KR:21,Run Sarura Run!:17 | 노동요:1 | Winter/Christmas:1,없는:21 | 모든:16 | 심장이:14 | 하얀:11 | 위로:11 | 순간:10 | 가장:10 | 걸까:10,눈:39 | 빛:31 | 숨:27 | 길:26 | 문:23 | 발:23,숨:27 | 울:26 | 열:22 | 돌:20 | 깨:19 | 녹:13,뜨거:15 | 괜찮:12 | 달콤:12 | 차가:11 | 보고:5 | 괜찮아:5,잖아:20 | 니까:18 | 아니:14 | 괜찮:12 | 정말:11 | 그냥:10
체니,20,KR:19 | EN:1,Run Sarura Run!:15 | Run Sarura Run! 1기:2 | 노동요:1,진짜:28 | 바로:25 | 거야:22 | 이게:20 | 그래:19 | 누가:15 | 심장이:14 | 같아:11,발:30 | 달:25 | 비:21 | 눈:20 | 심장:17 | 손:16,돌:21 | 깨:19 | 뛰:18 | 돌아:18 | 울:16 | 웃:14,괜찮:9 | 괜찮아:8 | 차가:6 | 뜨거:6 | 보고:5 | 좋아:4,잖아:16 | 그냥:16 | 니까:12 | 정말:10 | 괜찮:9 | 괜찮아:8
월콧,19,KR:18 | EN:1,Derville Pen is dead!:16 | 레못맛소녀곰:1 | Derville Pen is dead! 1기:1,바로:21 | 이게:14 | 진짜:13 | 순간:11 | 쾅쾅:11 | 그게:10 | 가자:10 | 아니:10,비:40 | 눈:38 | 발:36 | 길:20 | 손:20 | 방:20,잡:22 | 울:18 | 돌:17 | 웃:16 | 돌아:16 | 숨:15,괜찮:10 | 괜찮아:9 | 차가:8 | 사랑:7 | 보고:4 | 꿈:3,아니:18 | 그냥:12 | 잖아:11 | 괜찮:10 | 괜찮아:9 | 니까:7
루크,19,KR:19,Run Sarura Run!:15 | 노동요:1 | 레못맛소녀곰:1,같아:24 | 없는:17 | 걸음:16 | 기분:14 | 너와:12 | 조금은:12 | 위로:11 | 우리의:11,빛:30 | 눈:29 | 발:26 | 비:25 | 마음:22 | 숨:21,웃:22 | 숨:21 | 돌:19 | 울:15 | 내려:14 | 열:12,괜찮:15 | 괜찮아:11 | 좋아:9 | 보고:5 | 사랑:4 | 그리:4,그냥:19 | 괜찮:15 | 정말:13 | 괜찮아:11 | 뭐:9 | 근데:9
라이니,17,KR:17,Run Sarura Run!:14 | Winter/Christmas:1 | Run Sarura Run! 2기:1,거야:19 | 같아:11 | 바로:11 | 송이:10 | 완벽한:10 | 진짜:9 | 괜찮아:8 | 떨어지네:8,밤:34 | 비:23 | 눈:22 | 발:20 | 달:18 | 손:17,돌아:22 | 떨:17 | 밀:14 | 돌:13 | 숨:13 | 웃:8,괜찮:13 | 괜찮아:9 | 좋아:8 | 꿈:7 | 달콤:6 | 뜨거:4,잖아:18 | 니까:16 | 괜찮:13 | 아니:13 | 그냥:12 | 괜찮아:9
테피,16,KR:16,Run Sarura Run!:14 | Winter/Christmas:1 | Run Sarura Run! 1기:1,거야:17 | 위로:17 | 가장:14 | 모든:13 | 작은:12 | 괜찮아:11 | 하얀:9 | 순간:9,빛:30 | 발:29 | 손:23 | 밤:20 | 바람:18 | 길:16,울:21 | 숨:15 | 잡:12 | 깨:12 | 웃:10 | 내려:10,괜찮:18 | 괜찮아:14 | 차가:8 | 사랑:6 | 좋아:4 | 꿈:4,괜찮:18 | 괜찮아:14 | 그냥:11 | 아직:6 | 몰라:5 | 아니:5
현암,16,KR:15 | EN:1,Derville Pen is dead!:13 | 노동요:2 | Derville Pen is dead! 1기:1,바로:18 | 보지:15 | 이게:14 | 현암:14 | 미첼:14 | 괜찮아:12 | 나침반:12 | 손끝만:12,비:45 | 손:38 | 발:36 | 달:26 | 불:25 | 성:21,숨:19 | 식:16 | 돌:15 | 잡:14 | 울:13 | 열:12,괜찮:16 | 괜찮아:13 | 보고:8 | 그리:5 | 꿈:4 | 차가:3,그냥:19 | 괜찮:16 | 괜찮아:13 | 니까:12 | 그래도:9 | 뭐:9
레베카,16,KR:16,Run Sarura Run!:11 | Run Sarura Run! 1기:2 | 노동요:1,작은:23 | 괜찮아:20 | 하얀:11 | 위로:10 | 같아:9 | 함께:8 | 심장이:8 | 가만히:8,손:31 | 눈:29 | 빛:17 | 마음:17 | 비:15 | 창:14,웃:17 | 울:13 | 돌아:12 | 돌:12 | 내려:12 | 숨:11,괜찮:28 | 괜찮아:24 | 차가:10 | 행복:8 | 달콤:6 | 꿈:4,괜찮:28 | 괜찮아:24 | 니까:15 | 아니:10 | 잖아:6 | 아직:4
령,16,KR:16,Run Sarura Run!:12 | Run Sarura Run! 2기:2 | Winter/Christmas:1,닌겐:27 | 사랑:23 | 시끄러워:16 | 모든:15 | 반짝:15 | 반짝이는:14 | 두근:14 | 진짜:14,빛:27 | 비:26 | 불:24 | 마음:23 | 심장:20 | 눈:19,반짝:33 | 잡:16 | 흔들:11 | 웃:11 | 숨:10 | 떨:9,사랑:35 | 뜨거:6 | 행복:5 | 꿈:5 | 보고:5 | 괜찮:4,몰라:12 | 그냥:11 | 잖아:10 | 아니:8 | 뭐:8 | 그런:6
미첼,15,KR:14 | EN:1,Derville Pen is dead!:12 | 노동요:2 | Winter/Christmas:1,없는:15 | 미첼:15 | 현암:14 | 차가운:10 | 위로:9 | 번지고:8 | 시간을:8 | 온도:8,눈:28 | 밤:22 | 손:17 | 달:16 | 빛:16 | 숨:16,돌아:18 | 숨:16 | 돌:11 | 웃:9 | 번지:9 | 울:8,사랑:15 | 차가:12 | 그리:7 | 달콤:5 | 아파:3 | 괜찮:2,그냥:14 | 아니:14 | 그런:11 | 니까:11 | 뭐:11 | 정말:9
세리카,15,KR:15,"Run Sarura Run!:12 | ""이것은 망했습니다"" 시리즈:1 | Winter/Christmas:1",가장:17 | 거야:17 | 작은:14 | 같아:13 | 모든:12 | 세상이:10 | 진짜:10 | 따라서:10,빛:45 | 밤:33 | 눈:30 | 하늘:25 | 별:24 | 숨:20,숨:20 | 깨:18 | 열:17 | 올라:17 | 잊:11 | 울:10,꿈:17 | 괜찮:14 | 괜찮아:13 | 사랑:4 | 차가:4 | 그리:3,괜찮:14 | 괜찮아:13 | 잖아:9 | 아니:6 | 뭐:5 | 그냥:4
Marie,15,EN:14 | KR:1,Project SD:11 | Run Sarura Run!:1 | Lemot Team:1,다이스:7 | 바로:4 | 뒤집어놔:3 | 미친:3 | 잭팟:3 | 없이:3 | 질러봐:3 | 기분:3,눈:3 | 별:2 | 역:2 | 비:1 | 달:1 | 빛:1,춤:1 | 밀:1 | 빛나:1,행복:1,잖아:3 | 뭐:3 | 그냥:1 | 몰라:1 | 하지만:1 | 니까:1
Park Bongnam,13,EN:13,Bongnam's IM-ERGENCY:10 | Derville Pen is dead!:1 | Derville Pen is Dead!:1,,불:3 | 길:3 | 심장:3 | 봄:2 | 발:2 | 방:2,잡:2 | 내려:2 | 돌:2 | 웃:1 | 춤:1 | 울:1,사랑:3 | 보고:2 | 그리:1 | 달콤:1,그런:2 | 정말:1 | 하지만:1 | 니까:1
젠슨,13,KR:11 | EN:2,Derville Pen is dead!:12 | Derville Pen is dead! 1기:1,이게:15 | 바로:12 | 그게:11 | 어차피:11 | 거야:10 | 우린:10 | 없는:9 | 나야:8,불:31 | 달:27 | 밤:24 | 발:21 | 빛:17 | 성:17,울:16 | 숨:15 | 열:14 | 돌:14 | 지나:8 | 식:6,사랑:14 | 괜찮:7 | 괜찮아:6 | 보고:5 | 차가:4 | 달콤:4,그냥:24 | 뭐:15 | 아니:15 | 니까:9 | 괜찮:7 | 괜찮아:6
크래더,13,KR:13,Run Sarura Run!:10 | Run Sarura Run! 1기:2 | 노동요:1,해가:13 | 이게:13 | 거야:13 | 오늘은:11 | 바로:11 | 몰라:10 | 진짜:10 | 제일:8,발:22 | 비:16 | 달:15 | 눈:14 | 길:14 | 문:14,밀:12 | 울:9 | 숨:9 | 식:6 | 돌아:6 | 돌:6,좋아:11 | 사랑:7 | 보고:3 | 차가:2 | 괜찮:2 | 미안:2,그냥:25 | 잖아:15 | 뭐:10 | 몰라:10 | 아니:9 | 그런:8
마르티나,12,KR:12,Derville Pen is dead!:11 | Winter/Christmas:1,차가운:11 | 전부:10 | 춤춰:10 | 번지고:8 | 불을:8 | 몰라:8 | 바람에:7 | 듯한:7,불:40 | 밤:29 | 꽃:20 | 숨:19 | 달:18 | 마음:16,숨:19 | 춤:15 | 울:14 | 열:11 | 돌:10 | 번지:8,차가:13 | 보고:6 | 사랑:6 | 뜨거:4 | 달콤:3 | 괜찮:3,그냥:13 | 몰라:9 | 그런:8 | 그래도:5 | 정말:5 | 뭐:4
유진,10,KR:10,Derville Pen is dead!:8 | Run Sarura Run!:1 | 노동요:1,내일의:9 | 누군가:6 | 우린:6 | 좋네:6 | 이대로:6 | 싶은데:6 | 없이:5 | 먼저:5,불:18 | 달:13 | 눈:9 | 문:8 | 밤:8 | 바람:7,울:7 | 멈추:6 | 춤:6 | 잡:6 | 지나:4 | 돌:4,괜찮:5 | 차가:5 | 좋아:3 | 보고:3 | 희망:3 | 그리:2,잖아:18 | 그냥:16 | 뭐:7 | 니까:6 | 괜찮:5 | 그런:4
카샤스,8,KR:8,Run Sarura Run!:6 | 노동요:1 | Run Sarura Run! 2기:1,근데:14 | 번만:12 | 그래:9 | 거지:9 | 자꾸:8 | 있으니까:7 | 일이:6 | 외쳐라:6,눈:9 | 발:8 | 방:8 | 손:6 | 문:5 | 창:5,돌아:28 | 돌:18 | 울:4 | 잡:4 | 열:4 | 멈추:3,좋아:8 | 괜찮:2 | 보고:2 | 사랑:1 | 괜찮아:1 | 무서:1,그냥:20 | 아니:18 | 뭐:17 | 근데:14 | 잖아:14 | 니까:11
올레그,7,KR:7,Derville Pen is dead!:7,제발:8 | 당장:8 | 거야:7 | 아니:7 | 저녁이면:6 | 발이:5 | 그것만으로도:5 | 전부:5,발:16 | 비:15 | 봄:8 | 꽃:8 | 길:7 | 손:7,잡:14 | 식:10 | 돌아:6 | 놓:6 | 숨:5 | 돌:4,좋아:3 | 절망:3 | 사랑:2 | 외로:2 | 아파:2 | 뜨거:1,아니:10 | 그냥:6 | 잖아:6 | 아직:5 | 니까:5 | 뭐:4
Sis Tatoo,6,KR:4 | EN:2,Derville Pen is dead!:6,모든:8 | 마지막:6 | 들었잖아:5 | 조금이라도:4 | 해서:4 | 멈춰버린:4 | 벽을:4 | 빛이:4,빛:8 | 숨:7 | 손:6 | 밤:6 | 길:6 | 발:3,숨:7 | 돌아:4 | 열:3 | 떨:3 | 잡:2 | 흔들:2,희망:2 | 좋아:1 | 차가:1 | 후회:1,잖아:5 | 그냥:4 | 니까:3 | 정말:2 | 뭐:2 | 아니:1
에이미,6,KR:5 | EN:1,Run Sarura Run!:6 | KO/EN:1,버려:13 | 물들어:11 | 말이야:8 | 거야:7 | 거기:6 | 죽겠네:6 | 해가:5 | 그림자가:5,빛:15 | 봄:14 | 숨:11 | 눈:10 | 그림자:9 | 분홍:9,숨:11 | 녹:6 | 울:4 | 밀:3 | 깨:3 | 떨:3,차가:5 | 좋아:2 | 아쉬:1 | 그리:1 | 서운:1 | 무서:1,잖아:11 | 니까:6 | 아니:5 | 근데:5 | 때문:5 | 뭐:5
우나,5,KR:4 | EN:1,Derville Pen is dead!:4 | 노동요:1,매미:6 | 소리:6 | 자리에:5 | 그릇:4 | 김이:4 | 않는:3 | 옮겨:3 | 자리:3,비:20 | 손:8 | 눈:6 | 발:4 | 빛:3 | 문:3,식:7 | 내려:7 | 열:4 | 놓:3 | 웃:3 | 올라:3,차가:3 | 뜨거:2 | 괜찮:2 | 괜찮아:2 | 보고:1 | 미안:1,니까:3 | 아니:3 | 그냥:2 | 괜찮:2 | 괜찮아:2 | 아직:1
벨로나,5,KR:5,Run Sarura Run!:5,곰을:8 | 좋아해:8 | 걸음:7 | 봄날의:7 | 그거면:6 | 밟아:6 | 소리:6 | 펴고:6,봄:36 | 숨:11 | 비:8 | 손:7 | 발:7 | 눈:7,숨:11 | 울:9 | 깨:6 | 녹:6 | 잡:5 | 내려:3,좋아:14 | 차가:5 | 달콤:2 | 뜨거:1 | 후회:1,잖아:6 | 아직:4 | 니까:4 | 근데:3 | 뭐:3 | 아니:1
타라한,5,KR:4 | EN:1,Derville Pen is dead!:4 | Winter/Christmas:1,거야:7 | 같아:4 | 모르는:4 | 계절이:4 | 우리도:4 | 함께:4 | 오는:4 | 새로운:4,새벽:9 | 눈:8 | 손:6 | 숨:6 | 겨울:6 | 문:5,울:7 | 숨:6 | 열:5 | 기억:5 | 번지:3 | 깨:3,사랑:3 | 차가:3 | 뜨거:1 | 무서:1 | 슬픔:1 | 미안:1,니까:4 | 그런:3 | 아니:2 | 뭐:2 | 아니야:1 | 하지만:1
マリー,4,JA:4,ラン・サルラ・ラン:4,,,,,
시스 타투,4,KR:4,Derville Pen is dead!:3 | Winter/Christmas:1,됐고:12 | 붉게:7 | 싶어:6 | 가장:6 | 곱게:6 | 묻고:5 | 모든:5 | 사라져:5,손:6 | 빛:6 | 성:6 | 밤:6 | 달:6 | 불:5,떨:6 | 숨:3 | 식:2 | 울:2 | 잊:2 | 부르:2,좋아:3 | 괜찮:3 | 외로:1 | 차가:1 | 사랑:1 | 달콤:1,거든:7 | 니까:6 | 근데:4 | 잖아:4 | 괜찮:3 | 뭐:3
Sis. Una,4,KR:3 | EN:1,Derville Pen is dead!:4,온도:7 | 없는:6 | 푸른:6 | 밤의:6 | 흐려지는:6 | 윤곽선:6 | 소리:4 | 그저:4,밤:11 | 빛:10 | 숨:6 | 길:5 | 꽃:5 | 그림자:3,숨:6 | 돌아:6 | 돌:3 | 울:3 | 열:3 | 내려:2,차가:3,니까:1
웰링,4,KR:4,Derville Pen is dead!:3 | 노동요:1,아니:7 | 가르고:6 | 거야:5 | 총알이:5 | 이게:5 | 진짜:4 | 모든:4 | 집중해:3,비:9 | 방:9 | 눈:8 | 발:7 | 달:3 | 길:3,식:4 | 열:3 | 접:2 | 깨:2 | 기다리:1 | 버티:1,절망:3 | 사랑:2 | 미안:1 | 괜찮:1 | 괜찮아:1 | 행복:1,아니:9 | 그냥:5 | 니까:3 | 몰라:3 | 뭐:2 | 잖아:2
Mitchell,3,EN:3,Derville Pen is dead!:2,,,,,
Walcott,3,EN:3,Derville Pen is dead!:1 | Lemot Team:1,,,,,
Sally,3,EN:3,Run Sarura Run!:1 | Project SD:1,,,,,
ネル,2,JA:2,ラン・サルラ・ラン:2,,,,,
