video_id,published_at,title,url,language_guess,lyric_likeness_score,is_lyric_like,line_count,avg_line_len,series_guess,character_guess,song_title_guess,profile_tags,description_hash
XOpQU1cedfg,2026-06-10T16:32:13Z,[ラン・サルラ・ラン] マリー - '濡れた靴で踊ろう' [JA],https://www.youtube.com/watch?v=XOpQU1cedfg,JA,63.2,yes,85,8.36,ラン・サルラ・ラン,マリー,濡れた靴で踊ろう,rain_city | run_dance_motion,ab90175501fe
dJWOUc-fF0Y,2026-06-08T19:29:07Z,[ラン・サルラ・ラン]  マリー x ネル - '氷みたいに熱くなれ' [JA],https://www.youtube.com/watch?v=dJWOUc-fF0Y,JA,68.3,yes,58,12.21,ラン・サルラ・ラン,マリー | ネル,氷みたいに熱くなれ,summer_heat,8e218ea16676
UGskVzX065s,2026-06-08T18:52:59Z,[デルビル P.I.D.] マルティナ - '夏が笑うほど' [JA],https://www.youtube.com/watch?v=UGskVzX065s,JA,70.0,yes,87,5.78,デルビル P.I.D.,マルティナ,夏が笑うほど,summer_heat | run_dance_motion,96b436ad8487
-bB04bgx6_4,2026-06-07T14:44:58Z,[ラン・サルラ・ラン] レベッカ x ルーク - 'それ、いち、に、さん' [JA],https://www.youtube.com/watch?v=-bB04bgx6_4,JA,69.8,yes,52,9.67,ラン・サルラ・ラン,レベッカ | ルーク,それ、いち、に、さん,general_lyric_history,a013f94b8e2e
le4AZ5UeNYA,2026-06-07T08:43:03Z,[Derville Pen is dead!] Park Bongnam - 'Launchpad Ground' [EN],https://www.youtube.com/watch?v=le4AZ5UeNYA,EN,39.8,yes,56,42.05,Derville Pen is dead!,Park Bongnam,Launchpad Ground,general_lyric_history,78ea4868086a
KBiqICKbmeM,2026-06-06T20:43:58Z,[ラン・サルラ・ラン]  'ゴーイング マッド! (GOING MAD!)' [JA],https://www.youtube.com/watch?v=KBiqICKbmeM,JA,70.0,yes,49,13.78,ラン・サルラ・ラン,,ゴーイング マッド! (GOING MAD!),general_lyric_history,f3e8b9a71192
zE_8D7l4M_s,2026-06-06T19:42:35Z,"[Derville Pen is dead!] 미첼 x 마르티나 - '바람, 풀내음 그리고' [KO]",https://www.youtube.com/watch?v=zE_8D7l4M_s,KR,65.0,yes,36,16.53,Derville Pen is dead!,미첼 | 마르티나,"바람, 풀내음 그리고",summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,7626783f8390
ZkjrB6NW7uk,2026-06-06T19:15:21Z,[Run Sarura Run!] 테피 - '바람이 지나간 사이' [KO],https://www.youtube.com/watch?v=ZkjrB6NW7uk,KR,65.5,yes,33,12.42,Run Sarura Run!,테피,바람이 지나간 사이,summer_heat | rain_city | self_denial_rationalization | tender_comfort | dark_cool,2a2769be4993
8cn1ilJcdxg,2026-06-06T12:18:45Z,[デルビル P.I.D.] シスタトゥー x シスターウナ - '平熱でレア' [JA],https://www.youtube.com/watch?v=8cn1ilJcdxg,JA,67.0,yes,30,12.43,デルビル P.I.D.,シスタトゥー | シスターウナ,平熱でレア,general_lyric_history,cf43eae1d65f
IFzTRhziByw,2026-06-05T21:46:52Z,[Run Sarura Run!] Luke x Kreather - 'On a Two-Dollar Day' [EN],https://www.youtube.com/watch?v=IFzTRhziByw,EN,55.4,yes,57,32.95,Run Sarura Run!,Luke | Kreather,On a Two-Dollar Day,general_lyric_history,f18b95ccaba9
n5MIlPx2lT8,2026-06-04T16:01:07Z,[ラン・サルラ・ラン] サリーxレイニー - 'ギャルちゃんたち、再デビュー!（ミラーボールを回して）' [JA],https://www.youtube.com/watch?v=n5MIlPx2lT8,JA,67.1,yes,51,11.27,ラン・サルラ・ラン,サリー | レイニー,ギャルちゃんたち、再デビュー!（ミラーボールを回して）,summer_heat | run_dance_motion,f23283e6e0d3
MpPlJMVsNwY,2026-06-02T14:40:14Z,[Run Sarura Run!] 'Take It Slow' [KO],https://www.youtube.com/watch?v=MpPlJMVsNwY,KR,66.5,yes,37,11.68,Run Sarura Run!,,Take It Slow,summer_heat | self_denial_rationalization | cute_comedy | tender_comfort | idol_pop_hook,c4743c501e60
ecoRXfa5ZWo,2026-05-31T11:27:13Z,[Derville Pen is dead!] Tarahan - 'Wish Number Three' [EN],https://www.youtube.com/watch?v=ecoRXfa5ZWo,EN,38.2,yes,54,42.19,Derville Pen is dead!,Tarahan,Wish Number Three,labor_work,ca540b55e2d9
HS24xo9KxeE,2026-05-31T09:41:29Z,[Derville Pen is dead!] 젠슨 - '가산디지토리안과 구로구' [KO],https://www.youtube.com/watch?v=HS24xo9KxeE,KR,64.7,yes,38,13.76,Derville Pen is dead!,젠슨,가산디지토리안과 구로구,rain_city | run_dance_motion | self_denial_rationalization | cute_comedy | heroic_fantasy,0e259a877be2
GHP2K__TU4E,2026-05-29T17:59:39Z,Paletita de Limón (Bongnam de Derville P.I.D.) [ES],https://www.youtube.com/watch?v=GHP2K__TU4E,EN,63.9,yes,41,26.73,ES,Paletita de Limón,,general_lyric_history,9159e857de78
PDTlJbNzs0w,2026-05-29T15:24:41Z,[Run Sarura Run!] 마리 - '마리 온 더 루프탑 (Marie on the Rooftop)' [KO],https://www.youtube.com/watch?v=PDTlJbNzs0w,KR,61.3,yes,46,15.96,Run Sarura Run!,마리,마리 온 더 루프탑 (Marie on the Rooftop),rain_city | tender_comfort | dark_cool,7c5c764bfbce
su9j3_Vezjs,2026-05-29T15:11:08Z,[Derville Pen is dead!] 시스 타투 - '충고 고마워' [KO],https://www.youtube.com/watch?v=su9j3_Vezjs,KR,67.2,yes,46,14.54,Derville Pen is dead!,시스 타투,충고 고마워,self_denial_rationalization | cute_comedy | heroic_fantasy | tender_comfort,aa4d7610c7e0
I4u8N1JNn3A,2026-05-29T14:57:24Z,La Dueña (Martina de Derville P.I.D.) [ES],https://www.youtube.com/watch?v=I4u8N1JNn3A,EN,65.9,yes,46,26.33,ES,La Dueña,,general_lyric_history,36542894a49b
EpYDN4h8GpA,2026-05-27T16:06:23Z,[Derville Pen is dead!] Mitchell - 'Two strangers in the lights (feat. Bongnam)'  [EN],https://www.youtube.com/watch?v=EpYDN4h8GpA,EN,59.9,yes,57,32.32,Derville Pen is dead!,Mitchell,Two strangers in the lights (feat. Bongnam),general_lyric_history,02428b930224
Pkcwpx-tNSA,2026-05-26T14:08:30Z,[Derville Pen is dead!] Sis. Una - 'August in the Room' [EN],https://www.youtube.com/watch?v=Pkcwpx-tNSA,EN,65.0,yes,62,18.71,Derville Pen is dead!,Sis. Una,August in the Room,general_lyric_history,4531c6faed81
S0cUttqa3z4,2026-05-25T15:31:51Z,[Derville Pen is dead!] Sis Tatoo - 'Your Mileage' [EN],https://www.youtube.com/watch?v=S0cUttqa3z4,EN,67.1,yes,51,22.84,Derville Pen is dead!,Sis Tatoo,Your Mileage,general_lyric_history,99de912654bf
6DsiPo4w3BQ,2026-05-25T08:46:20Z,[Run Sarura Run!] 샐리 - '런닝메이트 (Running mate)' [KO],https://www.youtube.com/watch?v=6DsiPo4w3BQ,KR,60.0,yes,49,14.73,Run Sarura Run!,샐리,런닝메이트 (Running mate),summer_heat | winter_christmas | rain_city | run_dance_motion | self_denial_rationalization,b9bb77e451ec
1pImx46NYj4,2026-05-23T17:38:57Z,[데르빌의 일상] '오늘의 합동기' 올레그x박봉남 [KO],https://www.youtube.com/watch?v=1pImx46NYj4,KR,26.2,no_or_needs_manual_review,6,29.33,데르빌의 일상,올레그 | 박봉남,오늘의 합동기,self_denial_rationalization | heroic_fantasy,690debe8fcf2
08sFHYkhPNo,2026-05-23T13:48:14Z,"[Run Sarura Run!] [Project SD] 마리 - Skill Cutscene ""Cat-erize Straight!"" #스킬컷씬 #게임컷씬 #힐러 #게임개발 #인디게임",https://www.youtube.com/watch?v=08sFHYkhPNo,KR,62.4,yes,29,23.03,Run Sarura Run! | Project SD,마리,Cat-erize Straight!,heroic_fantasy,bb799d162b58
wyLjBlZNQ7g,2026-05-23T09:41:26Z,"[Run Sarura Run!] 카샤스 - 'Trust, but verify' [KO]",https://www.youtube.com/watch?v=wyLjBlZNQ7g,KR,63.9,yes,69,11.26,Run Sarura Run!,카샤스,"Trust, but verify",winter_christmas | self_denial_rationalization | cute_comedy | heroic_fantasy | tender_comfort,028fc90a4229
FXjhp86K00o,2026-05-23T01:54:35Z,[Derville Pen is dead!] 박봉남 - '해에게서 해에게' [KO],https://www.youtube.com/watch?v=FXjhp86K00o,KR,67.2,yes,54,13.72,Derville Pen is dead!,박봉남,해에게서 해에게,summer_heat | winter_christmas | rain_city | self_denial_rationalization | tender_comfort,0e8ae10decc4
